field_name_generic;node_name;node_names_to_show;html_file_name;image_name;image_source;class_to_use_in_radar_chart;class_1_name_in_network;class_1_name_to_show;class_2_name_in_network;class_2_name_to_show;class_3_name_in_network;class_3_name_to_show;class_4_name_in_network;class_4_name_to_show
Ursache_1;SRPAR_Flow;"Modified 
flow diversity / 
depth variance";Flow.html;Flow.jpg;Photo of a heavily straightened stream with low flow diversity. Copyright: Hackbarth.;2;Natural_to_significantly_modified;"Natural to significantly modified
(<= 4,5)";Heavily_to_completely_modified;"Heavily to completely modified
(> 4,5)";;;;
Ursache_2;SRPAR_Nutrients;Nutrient pollution;Nutrients.html;Nutrients.jpg;Photo of a stream that is weedy due to an nutrient enrichment. Copyright: Schütz.;2;Nein;Nein;Ja;Ja;;;;
Ursache_3;SRPAR_Temperature;Thermal pollution;Temperature.html;Temperature.jpg;Photo of a stream that is effected by thermal pollution due to discharge of the cooling water of a power plant. Copyright: LUBW.;2;Nein;Nein;Ja;Ja;;;;
Ursache_4;SRPAR_SpecialCrops;"Special crops
";SpecialCrops.html;SpecialCrops.jpg;Photo of a stream surrounded by special crops, e.g. vineyards. Copyright: LUBW.;2;Low ;Low (<= 5);High;High (> 5);;;;
Ursache_5;SRPAR_Urban;"Urban area
";Urban.html;Urban.png;Photo of a stream in an urbanized area which is significantly structurally modified. Copyright: LUBW.;2;Low;Low (<= 10);High;High (>10);;;;
Ursache_6;SRPAR_Agriculture;Agriculture ;Agriculture.html;Agriculture.jpg;Photo of a stream surrounded by agricultural land. Copyright: Schütz.;-1;Low;Low (<= 20);Medium;Medium (> 20 bis <= 40);High;High (> 40);;
Ursache_7;SRPAR_Grassland;Intensive grassland;Grassland.html;Grassland.jpg;Photo of a stream surrounded by intensively used grassland. Copyright: Gorka.;-1;Low;Low (<= 20);Medium (> 20 bis <= 40);High;High (> 40);;;
Ursache_8;SRPAR_Fines;"Increased fine
sediments";Fines.html;Fines.jpg;Photo of a stream whose sole substrates are covered by fine sediments (silting, siltation). Copyright: Humberg.;-1;Low;Low (<= 10);Medium;Medium (> 10 bis <= 20);High;High (> 20);Very_high;Very high (> 40)
Ursache_9;SRPAR_Bank;"Modified bank
vegetation cover";BankVeg.html;BankVeg.jpg;Photo of a stream without site-adapted vegetation. Copyright: Hackbarth.;-1;Natural_to_moderately_modified;"Natural to moderately modified
(<= 3)";Significantly_to_heavily_modified;"Significantly to heavily modified 
(> 3 bis <= 5)";Very_heavily_to_completely_modified;Very heavily to completely modified (> 5);;
Ursache_10;SRPAR_Substrate;"Modified substrate 
diversity";Substrate.html;Substrate.png;Photo of a stream with a artifical riverbed and thus lower substrate diversity. Copyright: Schütz.;2;Natural_to_significantly_modified;"Natural to significantly modified 
(<= 4)";Heavily_to_completely_modified;"Heavily to completely modified
(> 4)";;;;
